Название региона 1937;Регион 1937-1940;арестовано в 1937 и 1938 по Мозохину;Население по переписи 1939 г. ;Современный регион; РСФСР
Азербайджанская ССР;Азербайджанская ССР;26349;3205150;Азербайджан;0
Азово-Черноморский край - Ростовская область;Ростовская область;27696;2892580;Ростовская область;1
Азово-Черноморский край - Краснодарский край;Краснодарский край;29872;3172674;Краснодарский край;1
Армянская ССР;Армянская ССР;9804;1282338;Армения;0
Башкирская АССР;Башкирская АССР;16035;3158969;Республика Башкортостан;1
Белорусская ССР;Белорусская ССР;58967;5568994;Белоруссия;0
Бурят-Монгольская АССР;Бурят-Монгольская АССР;7847;545766;Республика Бурятия;1
Воронежская область;Воронежская область;22796;3551329;Воронежская область;1
Воронежская область;Воронежская область;22796;3551329;Липецкая область;1
Воронеж-Тамбовская область;Тамбовская область (всего);7982;1877900;Тамбовская область;1
Воронеж-Тамбовская область;Тамбовская область (всего);7982;1877900;Пензенская область;1
Восточно-Сибирский край - Иркутская область;Иркутская область;25720;1303997;Иркутская область;1
Восточно-Сибирский край - Читинская область;Читинская область;19582;1158574;Читинская область;1
Горьковская область;Горьковская область;15461;3869887;Нижегородская область;1
Грузинская ССР;Грузинская ССР;30512;3540028;Грузия;0
Дагестанская АССР;Дагестанская АССР;6822;930416;Республика Дагестан;1
Дальневосточный край;Дальневосточный край (всего);60830;2481185;Амурская область;1
Дальневосточный край;Дальневосточный край (всего);60830;2481185;Еврейская автономная область;1
Дальневосточный край;Дальневосточный край (всего);60830;2481185;Камчатский край;1
Дальневосточный край;Дальневосточный край (всего);60830;2481185;Магаданская область;1
Дальневосточный край;Дальневосточный край (всего);60830;2481185;Хабаровский край;1
Дальневосточный край;Дальневосточный край (всего);60830;2481185;Приморский край;1
Дальневосточный край;Дальневосточный край (всего);60830;2481185;Сахалинская область;1
Западная область - Смоленская область;Смоленская область;27253;2686029;Смоленская область;1
Западная область - Орловская область;Орловская область;17772;3532713;Орловская область;1
Западная область - Орловская область;Орловская область;17772;3532713;Брянская область;1
Западно-Сибирский край - Новосибирская область;Новосибирская область;67825;4050260;Новосибирская область;1
Западно-Сибирский край - Новосибирская область;Новосибирская область;67825;4050260;Кемеровская область;1
Западно-Сибирский край - Новосибирская область;Новосибирская область;67825;4050260;Томская область;1
Западно-Сибирский край - Алтайский край;Алтайский край;24925;2498597;Алтайский край;1
Западно-Сибирский край - Алтайский край;Алтайский край;24925;2498597;Республика Алтай;1
Ивановская область;Ивановская область;12997;2649429;Владимирская область;1
Ивановская область;Ивановская область;12997;2649429;Ивановская область;1
Кабардино-Балкарская АССР;Кабардино-Балкарская АССР;4220;359219;Кабардино-Балкарская Республика;1
Казахская ССР;Казахская ССР;45563;6151102;Казахстан;0
Калининская область;Калининская область;17252;3213139;Тверская область;1
Калининская область;Калининская область;17252;3213139;Псковская область;1
Калмыцкая АССР;Калмыцкая АССР (ранее - Астраханская губерния, Ставропольская губерния и Донская обл);1012;220684;Республика Калмыкия;1
Карельская АССР;Карельская АССР;10484;468898;Республика Карелия;1
Киргизская ССР;Киргизская ССР;12000;1458213;Киргизия;0
Кировская область;Кировская область;6761;2226193;Кировская область;1
Коми АССР;Коми АССР;1334;318996;Республика Коми;1
Красноярский край;Красноярский край;31942;1960524;Республика Хакасия;1
Красноярский край;Красноярский край;31942;1960524;Красноярский край;1
Крымская АССР;Крымская АССР;16252;1126429;Крым;0
Куйбышевская область;Куйбышевская область;18108;2766436;Ульяновская область;1
Куйбышевская область;Куйбышевская область;18108;2766436;Самарская область;1
Курская область;Курская область;13198;3143067;Курская область;1
Курская область;Курская область;13198;3143067;Белгородская область;1
Ленинградская область;Ленинградская область;74439;6723230;Город Санкт-Петербург;1
Ленинградская область;Ленинградская область;74439;6723230;Ленинградская область;1
Ленинградская область;Ленинградская область;74439;6723230;Мурманская область;1
Ленинградская область;Ленинградская область;74439;6723230;Новгородская область;1
Марийская АССР;Марийская АССР;5050;579610;Республика Марий Эл;1
Мордовская АССР;Мордовская АССР;5205;1188004;Республика Мордовия;1
Московская область и Москва;Московская область + Центральный аппарат;83277;8917311;Город Москва;1
Московская область и Москва;Московская область + Центральный аппарат;83277;8917311;Московская область;1
Московская-Рязанская;Рязанская область;4106;2267908;Рязанская область;1
Московская-Тульская;Тульская область;14507;2048695;Тульская область;1
