Регион 1937-1940;Арестовано в 1937 и 1938 по Мозохину на душу населения;арестовано в 1937 и 1938 по Мозохину;Количество репрессированных в 1937 и 1938 по Мемориалу на душу населения;Количество репрессированных в 1937 и 1938 по Мемориалу;Население по переписи 1939 г. 
Ленинградская область;0.011071910376411339;74439;0.005355461586172123;36006;6723230
Дальневосточный край (всего);0.02451651126377114;60830;0.01322513234603627;32814;2481185
Красноярский край;0.01629258300331952;31942;0.015238273033127877;29875;1960524
Свердловская область (всего);0.01821360891869539;45740;0.009446866156255562;23724;2511309
Алтайский край;0.009975598305769197;24925;0.009394071953180125;23472;2498597
Омская область;0.012664763434395248;30122;0.008408138209980617;19998;2378410
Московская область + Центральный аппарат;0.009338801797985963;83277;0.002199317709116571;19612;8917311
Новосибирская область;0.016745838538760476;67825;0.004456257129171954;18049;4050260
Калининская область;0.005369204382381217;17252;0.005343995388932754;17171;3213139
Иркутская область;0.019723971757603737;25720;0.012874262747536995;16788;1303997
Куйбышевская область;0.006545605971003847;18108;0.004989452132635637;13803;2766436
Смоленская область;0.010146204676122261;27253;0.00495564269782642;13311;2686029
Карельская АССР;0.022358807245925552;10484;0.027709651139480228;12993;468898
Читинская область;0.016901812055164365;19582;0.008313668354373567;9632;1158574
Саратовская область;0.01587121410567615;38171;0.0039882813052224365;9592;2405046
Татарская АССР;0.003868243052032448;11277;0.0031599055595746134;9212;2915277
Коми АССР;0.004181870619067323;1334;0.026715068527505048;8522;318996
Горьковская область;0.003995207095194252;15461;0.0021592361740795014;8356;3869887
Тульская область;0.007081093086086509;14507;0.0036061980919560987;7388;2048695
Тамбовская область (всего);0.004250492571489429;7982;0.0037270355183982107;6999;1877900
Челябинская область;0.009674668870922207;27107;0.0021831980478633248;6117;2801853
Оренбургская (Чкаловская) область;0.007207747747317895;12085;0.003632203871010838;6090;1676668
Кировская область;0.0030370232949254623;6761;0.002187141905486182;4869;2226193
Архангельская область;0.009085828408932137;11055;0.0035061188595662146;4266;1216730
Мордовская АССР;0.004381298379466735;5205;0.0035639610641041613;4234;1188004
Дагестанская АССР;0.007332204089353579;6822;0.004363639490292514;4060;930416
Ярославская область;0.0027015372626961525;6171;0.0014096499734048958;3220;2284255
Кабардино-Балкарская АССР;0.011747708222560611;4220;0.008515696552799268;3059;359219
Краснодарский край;0.00941540164542591;29872;9.257175492975326e-4;2937;3172674
Сталинградская область;0.006941448924213083;15883;0.0012001019168852941;2746;2288139
Северо-Осетинская АССР;0.008265366564906366;2721;0.00826840418584165;2722;329205
Марийская АССР;0.00871275512844844;5050;0.004630699953416952;2684;579610
Воронежская область;0.0064190053920659;22796;7.540838936634708e-4;2678;3551329
Удмуртская АССР;0.0026112272932299996;3184;0.002002706359945873;2442;1219350
Курская область;0.004199083252122847;13198;6.910447661472059e-4;2172;3143067
Якутская АССР;0.008828697137933873;3648;0.0045643976979559435;1886;413198
Вологодская область;0.006212058737663916;10320;8.8485720391143e-4;1470;1661285
Рязанская область;0.0018104790846895024;4106;6.217183413083776e-4;1410;2267908
Башкирская АССР;0.005076023221500432;16035;4.2070688253034456e-4;1329;3158969
Ростовская область;0.009574843219547947;27696;4.3698013538087107e-4;1264;2892580
Бурят-Монгольская АССР;0.01437795685330343;7847;0.0022665391394846874;1237;545766
Чувашская АССР;0.0038028993044269647;4095;0.0011181174023272443;1204;1076810
Орджоникидзевский край;0.008722698956935998;17017;3.7060065498411746e-4;723;1950887
Орловская область;0.00503069453986214;17772;1.5285702518149648e-5;54;3532713
Ивановская область;0.004905585316685218;12997;1.1323194544937797e-5;30;2649429
